
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.5673844E+01   0.2381983E+01   0.3791044E+00   0.0000000E+00
      2   0.5787577E+02   0.7607612E+01   0.1210789E+01   0.0000000E+00
      3   0.1504716E+03   0.1226668E+02   0.1952304E+01   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.3148633E-12   0.9543946E-07   0.1775705E+01  -0.8072103E-06  -0.1805771E+00   0.6673132E-12
      2  -0.2475730E-06   0.2153294E-10   0.1018664E-04   0.1482129E+00  -0.2671599E-07  -0.1237870E-06
      3   0.4424967E-02   0.6677477E-06  -0.7012857E-05   0.1860813E-05  -0.1723432E-04  -0.1122664E-07

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.9913889E-25   0.9108690E-14   0.3153129E+01   0.6515884E-12   0.3260809E-01   0.4453069E-24
      2   0.6129237E-13   0.4636677E-21   0.1037676E-09   0.2196708E-01   0.7137441E-15   0.1532321E-13
      3   0.1958033E-04   0.4458870E-12   0.4918017E-10   0.3462625E-11   0.2970217E-09   0.1260374E-15
TOTAL     0.1958033E-04   0.4549957E-12   0.3153129E+01   0.2196708E-01   0.3260809E-01   0.1544925E-13

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3156182E+01   0.3156573E+01   0.3156312E+01   0.2918537E-01   0.4214377E-01   0.7132914E-01

