TimeWindow  TotalIterations  Iterations  Convergence  
1  5  5  1  
2  8  3  1  
3  11  3  1  
4  14  3  1  
5  17  3  1  
6  20  3  1  
7  23  3  1  
8  26  3  1  
9  29  3  1  
10  32  3  1  
11  35  3  1  
12  38  3  1  
13  41  3  1  
14  44  3  1  
15  47  3  1  
16  50  3  1  
17  53  3  1  
18  56  3  1  
19  57  1  1  
20  60  3  1  
21  63  3  1  
22  66  3  1  
23  69  3  1  
24  72  3  1  
25  75  3  1  
26  78  3  1  
27  81  3  1  
28  84  3  1  
29  87  3  1  
30  90  3  1  
31  93  3  1  
32  96  3  1  
33  99  3  1  
34  102  3  1  
35  105  3  1  
36  108  3  1  
37  111  3  1  
38  114  3  1  
39  117  3  1  
40  120  3  1  
41  123  3  1  
42  126  3  1  
43  129  3  1  
44  132  3  1  
45  135  3  1  
46  138  3  1  
47  141  3  1  
48  144  3  1  
49  147  3  1  
